series_id,period_end,fiscal_year,fiscal_quarter,value,units,source_type,source,notes
de_at_net_sales_legacy,2013-10-31,2013,Q4,7102,USDm,filing,https://www.sec.gov/Archives/edgar/data/315189/000110465913085905/a13-24518_1ex99d1.htm,"segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. period_end is the calendar month-end label used in the filing itself; Deere's FY2017 10-K later restated the fiscal-year ends onto a 52/53-week basis (FY2016 ended 2016-10-30, FY2015 ended 2015-11-01) but never republished 52/53-week quarter ends for those years."
de_at_net_sales_legacy,2013-10-31,2013,FY,29132,USDm,filing,filings/2015-11-25__de-us-20151125-q4-10k__469104.md,"segment_basis=legacy-AT; as_reported_or_restated=as_reported_comparative; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. period_end is the calendar month-end label used in the filing itself; Deere's FY2017 10-K later restated the fiscal-year ends onto a 52/53-week basis (FY2016 ended 2016-10-30, FY2015 ended 2015-11-01) but never republished 52/53-week quarter ends for those years. taken from the prior-year comparative column of a later filing."
de_at_net_sales_legacy,2014-01-31,2014,Q1,5596,USDm,filing,filings/2015-02-20__de-us-20150220-q1-10q__469211.md,"segment_basis=legacy-AT; as_reported_or_restated=as_reported_comparative; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. period_end is the calendar month-end label used in the filing itself; Deere's FY2017 10-K later restated the fiscal-year ends onto a 52/53-week basis (FY2016 ended 2016-10-30, FY2015 ended 2015-11-01) but never republished 52/53-week quarter ends for those years. taken from the prior-year comparative column of a later filing."
de_at_net_sales_legacy,2014-04-30,2014,Q2,7646,USDm,filing,filings/2015-05-22__de-us-20150522-q2-10q__468391.md,"segment_basis=legacy-AT; as_reported_or_restated=as_reported_comparative; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. period_end is the calendar month-end label used in the filing itself; Deere's FY2017 10-K later restated the fiscal-year ends onto a 52/53-week basis (FY2016 ended 2016-10-30, FY2015 ended 2015-11-01) but never republished 52/53-week quarter ends for those years. taken from the prior-year comparative column of a later filing."
de_at_net_sales_legacy,2014-07-31,2014,Q3,6969,USDm,filing,filings/2015-08-21__de-us-20150821-q3-10q__469127.md,"segment_basis=legacy-AT; as_reported_or_restated=as_reported_comparative; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. period_end is the calendar month-end label used in the filing itself; Deere's FY2017 10-K later restated the fiscal-year ends onto a 52/53-week basis (FY2016 ended 2016-10-30, FY2015 ended 2015-11-01) but never republished 52/53-week quarter ends for those years. taken from the prior-year comparative column of a later filing."
de_at_net_sales_legacy,2014-10-31,2014,Q4,6169,USDm,filing,filings/2015-11-25__de-us-20151125-q4-8k__784605.md,"segment_basis=legacy-AT; as_reported_or_restated=as_reported_comparative; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. period_end is the calendar month-end label used in the filing itself; Deere's FY2017 10-K later restated the fiscal-year ends onto a 52/53-week basis (FY2016 ended 2016-10-30, FY2015 ended 2015-11-01) but never republished 52/53-week quarter ends for those years. taken from the prior-year comparative column of a later filing."
de_at_net_sales_legacy,2014-10-31,2014,FY,26380,USDm,filing,filings/2015-11-25__de-us-20151125-q4-10k__469104.md,"segment_basis=legacy-AT; as_reported_or_restated=as_reported_comparative; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. period_end is the calendar month-end label used in the filing itself; Deere's FY2017 10-K later restated the fiscal-year ends onto a 52/53-week basis (FY2016 ended 2016-10-30, FY2015 ended 2015-11-01) but never republished 52/53-week quarter ends for those years. taken from the prior-year comparative column of a later filing."
de_at_net_sales_legacy,2015-01-31,2015,Q1,4081,USDm,filing,filings/2015-02-20__de-us-20150220-q1-10q__469211.md,"segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. period_end is the calendar month-end label used in the filing itself; Deere's FY2017 10-K later restated the fiscal-year ends onto a 52/53-week basis (FY2016 ended 2016-10-30, FY2015 ended 2015-11-01) but never republished 52/53-week quarter ends for those years."
de_at_net_sales_legacy,2015-04-30,2015,Q2,5766,USDm,filing,filings/2015-05-22__de-us-20150522-q2-10q__468391.md,"segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. period_end is the calendar month-end label used in the filing itself; Deere's FY2017 10-K later restated the fiscal-year ends onto a 52/53-week basis (FY2016 ended 2016-10-30, FY2015 ended 2015-11-01) but never republished 52/53-week quarter ends for those years."
de_at_net_sales_legacy,2015-07-31,2015,Q3,5308,USDm,filing,filings/2015-08-21__de-us-20150821-q3-10q__469127.md,"segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. period_end is the calendar month-end label used in the filing itself; Deere's FY2017 10-K later restated the fiscal-year ends onto a 52/53-week basis (FY2016 ended 2016-10-30, FY2015 ended 2015-11-01) but never republished 52/53-week quarter ends for those years."
de_at_net_sales_legacy,2015-10-31,2015,Q4,4656,USDm,filing,filings/2015-11-25__de-us-20151125-q4-8k__784605.md,"segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. period_end is the calendar month-end label used in the filing itself; Deere's FY2017 10-K later restated the fiscal-year ends onto a 52/53-week basis (FY2016 ended 2016-10-30, FY2015 ended 2015-11-01) but never republished 52/53-week quarter ends for those years."
de_at_net_sales_legacy,2015-10-31,2015,FY,19812,USDm,filing,filings/2015-11-25__de-us-20151125-q4-10k__469104.md,"segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. period_end is the calendar month-end label used in the filing itself; Deere's FY2017 10-K later restated the fiscal-year ends onto a 52/53-week basis (FY2016 ended 2016-10-30, FY2015 ended 2015-11-01) but never republished 52/53-week quarter ends for those years."
de_at_net_sales_legacy,2016-01-31,2016,Q1,3600,USDm,filing,filings/2016-02-19__de-us-20160219-q1-10q__469699.md,"segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. period_end is the calendar month-end label used in the filing itself; Deere's FY2017 10-K later restated the fiscal-year ends onto a 52/53-week basis (FY2016 ended 2016-10-30, FY2015 ended 2015-11-01) but never republished 52/53-week quarter ends for those years."
de_at_net_sales_legacy,2016-04-30,2016,Q2,5742,USDm,filing,filings/2016-05-20__de-us-20160520-q2-10q__469677.md,"segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. period_end is the calendar month-end label used in the filing itself; Deere's FY2017 10-K later restated the fiscal-year ends onto a 52/53-week basis (FY2016 ended 2016-10-30, FY2015 ended 2015-11-01) but never republished 52/53-week quarter ends for those years."
de_at_net_sales_legacy,2016-07-31,2016,Q3,4704,USDm,filing,filings/2016-08-19__de-us-20160819-q3-10q__469698.md,"segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. period_end is the calendar month-end label used in the filing itself; Deere's FY2017 10-K later restated the fiscal-year ends onto a 52/53-week basis (FY2016 ended 2016-10-30, FY2015 ended 2015-11-01) but never republished 52/53-week quarter ends for those years."
de_at_net_sales_legacy,2016-10-31,2016,Q4,4441,USDm,filing,filings/2016-11-23__de-us-20161123-q4-8k__784650.md,"segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. period_end is the calendar month-end label used in the filing itself; Deere's FY2017 10-K later restated the fiscal-year ends onto a 52/53-week basis (FY2016 ended 2016-10-30, FY2015 ended 2015-11-01) but never republished 52/53-week quarter ends for those years."
de_at_net_sales_legacy,2016-10-31,2016,FY,18487,USDm,filing,filings/2016-11-23__de-us-20161123-q4-10k__469184.md,"segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. period_end is the calendar month-end label used in the filing itself; Deere's FY2017 10-K later restated the fiscal-year ends onto a 52/53-week basis (FY2016 ended 2016-10-30, FY2015 ended 2015-11-01) but never republished 52/53-week quarter ends for those years."
de_at_net_sales_legacy,2017-01-29,2017,Q1,3598,USDm,filing,filings/2017-02-17__de-us-20170217-q1-10q__469116.md,segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021.
de_at_net_sales_legacy,2017-04-30,2017,Q2,5794,USDm,filing,filings/2017-05-19__de-us-20170519-q2-10q__469480.md,segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021.
de_at_net_sales_legacy,2017-07-30,2017,Q3,5338,USDm,filing,filings/2017-08-18__de-us-20170818-q3-10q__469477.md,segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021.
de_at_net_sales_legacy,2017-10-29,2017,Q4,5437,USDm,filing,filings/2017-11-22__de-us-20171122-fy-8k__784662.md,segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021.
de_at_net_sales_legacy,2017-10-29,2017,FY,20167,USDm,filing,filings/2017-11-22__de-us-20171122-fy-8k__784662.md,segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021.
de_at_net_sales_legacy,2018-01-28,2018,Q1,4243,USDm,filing,filings/2018-02-16__de-us-20180216-q1-10q__469205.md,segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021.
de_at_net_sales_legacy,2018-04-29,2018,Q2,7049,USDm,filing,filings/2018-05-18__de-us-20180518-q2-10q__468389.md,segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021.
de_at_net_sales_legacy,2018-07-29,2018,Q3,6293,USDm,filing,filings/2018-08-17__de-us-20180817-q3-10q__469474.md,segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021.
de_at_net_sales_legacy,2018-10-28,2018,Q4,5605,USDm,filing,filings/2018-11-21__de-us-20181121-fy-8k__654629.md,segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021.
de_at_net_sales_legacy,2018-10-28,2018,FY,23191,USDm,filing,filings/2018-11-21__de-us-20181121-fy-8k__654629.md,segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021.
de_at_net_sales_legacy,2019-01-27,2019,Q1,4681,USDm,filing,filings/2019-02-15__de-us-20190215-q1-10q__469204.md,segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021.
de_at_net_sales_legacy,2019-04-28,2019,Q2,7282,USDm,filing,filings/2019-05-17__de-us-20190517-q2-10q__469675.md,segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021.
de_at_net_sales_legacy,2019-07-28,2019,Q3,5946,USDm,filing,filings/2019-08-16__de-us-20190816-q3-10q__469206.md,segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021.
de_at_net_sales_legacy,2019-11-03,2019,Q4,5756,USDm,filing,filings/2019-11-27__de-us-20191127-q4-8k__469218.md,segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. FY2019 was a 53-week year; Q4 FY2019 contained 14 weeks.
de_at_net_sales_legacy,2019-11-03,2019,FY,23666,USDm,filing,filings/2019-11-27__de-us-20191127-q4-8k__469218.md,segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. FY2019 was a 53-week year; Q4 FY2019 contained 14 weeks.
de_at_net_sales_legacy,2020-02-02,2020,Q1,4486,USDm,filing,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021.
de_at_net_sales_legacy,2020-05-03,2020,Q2,5968,USDm,filing,filings/2020-05-21__de-us-20200521-q2-10q__469470.md,segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021.
de_at_net_sales_legacy,2020-08-02,2020,Q3,5672,USDm,filing,filings/2020-08-20__de-us-20200820-q3-10q__105822.md,segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021.
de_at_net_sales_legacy,2020-11-01,2020,Q4,6198,USDm,filing,filings/2020-11-25__de-us-20201125-q4-8k__105817.md,segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021.
de_at_net_sales_legacy,2020-11-01,2020,FY,22325,USDm,filing,filings/2020-11-25__de-us-20201125-q4-8k__105817.md,segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021.
de_at_operating_profit_legacy,2011-10-31,2011,Q4,868,USDm,filing,https://www.sec.gov/Archives/edgar/data/315189/000110465912079457/a12-27419_1ex99d1.htm,"segment_basis=legacy-AT; as_reported_or_restated=as_reported_comparative; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. operating profit on the pre-ASU-2017-07 definition (full pension/OPEB cost inside operating profit); not comparable with FY2018+ without the restated series. period_end is the calendar month-end label used in the filing itself; Deere's FY2017 10-K later restated the fiscal-year ends onto a 52/53-week basis (FY2016 ended 2016-10-30, FY2015 ended 2015-11-01) but never republished 52/53-week quarter ends for those years. taken from the prior-year comparative column of a later filing."
de_at_operating_profit_legacy,2011-10-31,2011,FY,3447,USDm,filing,https://www.sec.gov/Archives/edgar/data/315189/000110465912079457/a12-27419_1ex99d1.htm,"segment_basis=legacy-AT; as_reported_or_restated=as_reported_comparative; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. operating profit on the pre-ASU-2017-07 definition (full pension/OPEB cost inside operating profit); not comparable with FY2018+ without the restated series. period_end is the calendar month-end label used in the filing itself; Deere's FY2017 10-K later restated the fiscal-year ends onto a 52/53-week basis (FY2016 ended 2016-10-30, FY2015 ended 2015-11-01) but never republished 52/53-week quarter ends for those years. taken from the prior-year comparative column of a later filing."
de_at_operating_profit_legacy,2012-01-31,2012,Q1,574,USDm,filing,https://www.sec.gov/Archives/edgar/data/315189/000110465913015827/a12-29126_110q.htm,"segment_basis=legacy-AT; as_reported_or_restated=as_reported_comparative; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. operating profit on the pre-ASU-2017-07 definition (full pension/OPEB cost inside operating profit); not comparable with FY2018+ without the restated series. period_end is the calendar month-end label used in the filing itself; Deere's FY2017 10-K later restated the fiscal-year ends onto a 52/53-week basis (FY2016 ended 2016-10-30, FY2015 ended 2015-11-01) but never republished 52/53-week quarter ends for those years. taken from the prior-year comparative column of a later filing."
de_at_operating_profit_legacy,2012-04-30,2012,Q2,1403,USDm,filing,https://www.sec.gov/Archives/edgar/data/315189/000110465913045612/a13-6570_110q.htm,"segment_basis=legacy-AT; as_reported_or_restated=as_reported_comparative; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. operating profit on the pre-ASU-2017-07 definition (full pension/OPEB cost inside operating profit); not comparable with FY2018+ without the restated series. period_end is the calendar month-end label used in the filing itself; Deere's FY2017 10-K later restated the fiscal-year ends onto a 52/53-week basis (FY2016 ended 2016-10-30, FY2015 ended 2015-11-01) but never republished 52/53-week quarter ends for those years. taken from the prior-year comparative column of a later filing."
de_at_operating_profit_legacy,2012-07-31,2012,Q3,1014,USDm,filing,https://www.sec.gov/Archives/edgar/data/315189/000110465913066988/a13-14192_110q.htm,"segment_basis=legacy-AT; as_reported_or_restated=as_reported_comparative; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. operating profit on the pre-ASU-2017-07 definition (full pension/OPEB cost inside operating profit); not comparable with FY2018+ without the restated series. period_end is the calendar month-end label used in the filing itself; Deere's FY2017 10-K later restated the fiscal-year ends onto a 52/53-week basis (FY2016 ended 2016-10-30, FY2015 ended 2015-11-01) but never republished 52/53-week quarter ends for those years. taken from the prior-year comparative column of a later filing."
de_at_operating_profit_legacy,2012-10-31,2012,Q4,931,USDm,filing,https://www.sec.gov/Archives/edgar/data/315189/000110465912079457/a12-27419_1ex99d1.htm,"segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. operating profit on the pre-ASU-2017-07 definition (full pension/OPEB cost inside operating profit); not comparable with FY2018+ without the restated series. period_end is the calendar month-end label used in the filing itself; Deere's FY2017 10-K later restated the fiscal-year ends onto a 52/53-week basis (FY2016 ended 2016-10-30, FY2015 ended 2015-11-01) but never republished 52/53-week quarter ends for those years."
de_at_operating_profit_legacy,2012-10-31,2012,FY,3921,USDm,filing,https://www.sec.gov/Archives/edgar/data/315189/000110465912079457/a12-27419_1ex99d1.htm,"segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. operating profit on the pre-ASU-2017-07 definition (full pension/OPEB cost inside operating profit); not comparable with FY2018+ without the restated series. period_end is the calendar month-end label used in the filing itself; Deere's FY2017 10-K later restated the fiscal-year ends onto a 52/53-week basis (FY2016 ended 2016-10-30, FY2015 ended 2015-11-01) but never republished 52/53-week quarter ends for those years."
de_at_operating_profit_legacy,2013-01-31,2013,Q1,766,USDm,filing,https://www.sec.gov/Archives/edgar/data/315189/000110465913015827/a12-29126_110q.htm,"segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. operating profit on the pre-ASU-2017-07 definition (full pension/OPEB cost inside operating profit); not comparable with FY2018+ without the restated series. period_end is the calendar month-end label used in the filing itself; Deere's FY2017 10-K later restated the fiscal-year ends onto a 52/53-week basis (FY2016 ended 2016-10-30, FY2015 ended 2015-11-01) but never republished 52/53-week quarter ends for those years."
de_at_operating_profit_legacy,2013-04-30,2013,Q2,1582,USDm,filing,https://www.sec.gov/Archives/edgar/data/315189/000110465913045612/a13-6570_110q.htm,"segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. operating profit on the pre-ASU-2017-07 definition (full pension/OPEB cost inside operating profit); not comparable with FY2018+ without the restated series. period_end is the calendar month-end label used in the filing itself; Deere's FY2017 10-K later restated the fiscal-year ends onto a 52/53-week basis (FY2016 ended 2016-10-30, FY2015 ended 2015-11-01) but never republished 52/53-week quarter ends for those years."
de_at_operating_profit_legacy,2013-07-31,2013,Q3,1336,USDm,filing,https://www.sec.gov/Archives/edgar/data/315189/000110465913066988/a13-14192_110q.htm,"segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. operating profit on the pre-ASU-2017-07 definition (full pension/OPEB cost inside operating profit); not comparable with FY2018+ without the restated series. period_end is the calendar month-end label used in the filing itself; Deere's FY2017 10-K later restated the fiscal-year ends onto a 52/53-week basis (FY2016 ended 2016-10-30, FY2015 ended 2015-11-01) but never republished 52/53-week quarter ends for those years."
