series_id,period_end,fiscal_year,fiscal_quarter,segment,geography,product_line,value,units,basis,source,notes
de_revrec_fs_asia_africa_oceania_and_middle_east,2019-07-28,2019,Q3,FS,"Asia, Africa, Oceania, and Middle East",,32,USDm,rev-rec,filings/2019-08-16__de-us-20190816-q3-10q__469206.md,reconciles=yes
de_revrec_total_asia_africa_oceania_and_middle_east,2019-07-28,2019,Q3,Total,"Asia, Africa, Oceania, and Middle East",,1091,USDm,rev-rec,filings/2019-08-16__de-us-20190816-q3-10q__469206.md,reconciles=yes
de_revrec_at_canada,2019-07-28,2019,Q3,AT,Canada,,299,USDm,rev-rec,filings/2019-08-16__de-us-20190816-q3-10q__469206.md,reconciles=yes
de_revrec_cf_canada,2019-07-28,2019,Q3,CF,Canada,,260,USDm,rev-rec,filings/2019-08-16__de-us-20190816-q3-10q__469206.md,reconciles=yes
de_revrec_fs_canada,2019-07-28,2019,Q3,FS,Canada,,148,USDm,rev-rec,filings/2019-08-16__de-us-20190816-q3-10q__469206.md,reconciles=yes
de_revrec_total_canada,2019-07-28,2019,Q3,Total,Canada,,707,USDm,rev-rec,filings/2019-08-16__de-us-20190816-q3-10q__469206.md,reconciles=yes
de_revrec_at_central_europe_and_cis,2019-07-28,2019,Q3,AT,Central Europe and CIS,,324,USDm,rev-rec,filings/2019-08-16__de-us-20190816-q3-10q__469206.md,reconciles=yes
de_revrec_cf_central_europe_and_cis,2019-07-28,2019,Q3,CF,Central Europe and CIS,,229,USDm,rev-rec,filings/2019-08-16__de-us-20190816-q3-10q__469206.md,reconciles=yes
de_revrec_fs_central_europe_and_cis,2019-07-28,2019,Q3,FS,Central Europe and CIS,,10,USDm,rev-rec,filings/2019-08-16__de-us-20190816-q3-10q__469206.md,reconciles=yes
de_revrec_total_central_europe_and_cis,2019-07-28,2019,Q3,Total,Central Europe and CIS,,563,USDm,rev-rec,filings/2019-08-16__de-us-20190816-q3-10q__469206.md,reconciles=yes
de_revrec_at_latin_america,2019-07-28,2019,Q3,AT,Latin America,,708,USDm,rev-rec,filings/2019-08-16__de-us-20190816-q3-10q__469206.md,reconciles=yes
de_revrec_cf_latin_america,2019-07-28,2019,Q3,CF,Latin America,,171,USDm,rev-rec,filings/2019-08-16__de-us-20190816-q3-10q__469206.md,reconciles=yes
de_revrec_fs_latin_america,2019-07-28,2019,Q3,FS,Latin America,,66,USDm,rev-rec,filings/2019-08-16__de-us-20190816-q3-10q__469206.md,reconciles=yes
de_revrec_total_latin_america,2019-07-28,2019,Q3,Total,Latin America,,945,USDm,rev-rec,filings/2019-08-16__de-us-20190816-q3-10q__469206.md,reconciles=yes
de_revrec_at_united_states,2019-07-28,2019,Q3,AT,United States,,2870,USDm,rev-rec,filings/2019-08-16__de-us-20190816-q3-10q__469206.md,reconciles=yes
de_revrec_cf_united_states,2019-07-28,2019,Q3,CF,United States,,1594,USDm,rev-rec,filings/2019-08-16__de-us-20190816-q3-10q__469206.md,reconciles=yes
de_revrec_fs_united_states,2019-07-28,2019,Q3,FS,United States,,632,USDm,rev-rec,filings/2019-08-16__de-us-20190816-q3-10q__469206.md,reconciles=yes
de_revrec_total_united_states,2019-07-28,2019,Q3,Total,United States,,5096,USDm,rev-rec,filings/2019-08-16__de-us-20190816-q3-10q__469206.md,reconciles=yes
de_revrec_at_western_europe,2019-07-28,2019,Q3,AT,Western Europe,,1154,USDm,rev-rec,filings/2019-08-16__de-us-20190816-q3-10q__469206.md,reconciles=yes
de_revrec_cf_western_europe,2019-07-28,2019,Q3,CF,Western Europe,,458,USDm,rev-rec,filings/2019-08-16__de-us-20190816-q3-10q__469206.md,reconciles=yes
de_revrec_fs_western_europe,2019-07-28,2019,Q3,FS,Western Europe,,22,USDm,rev-rec,filings/2019-08-16__de-us-20190816-q3-10q__469206.md,reconciles=yes
de_revrec_total_western_europe,2019-07-28,2019,Q3,Total,Western Europe,,1634,USDm,rev-rec,filings/2019-08-16__de-us-20190816-q3-10q__469206.md,reconciles=yes
de_revrec_at_asia_africa_oceania_and_middle_east,2020-02-02,2020,Q1,AT,"Asia, Africa, Oceania, and Middle East",,504,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_cf_asia_africa_oceania_and_middle_east,2020-02-02,2020,Q1,CF,"Asia, Africa, Oceania, and Middle East",,256,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_fs_asia_africa_oceania_and_middle_east,2020-02-02,2020,Q1,FS,"Asia, Africa, Oceania, and Middle East",,34,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_ppa_asia_africa_oceania_and_middle_east,2020-02-02,2020,Q1,PPA,"Asia, Africa, Oceania, and Middle East",,189,USDm,rev-rec,filings/2021-02-19__de-us-20210219-q1-10q__105814.md,reconciles=yes
de_revrec_sat_asia_africa_oceania_and_middle_east,2020-02-02,2020,Q1,SAT,"Asia, Africa, Oceania, and Middle East",,315,USDm,rev-rec,filings/2021-02-19__de-us-20210219-q1-10q__105814.md,reconciles=yes
de_revrec_total_asia_africa_oceania_and_middle_east,2020-02-02,2020,Q1,Total,"Asia, Africa, Oceania, and Middle East",,794,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_at_canada,2020-02-02,2020,Q1,AT,Canada,,138,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_cf_canada,2020-02-02,2020,Q1,CF,Canada,,172,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_fs_canada,2020-02-02,2020,Q1,FS,Canada,,156,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_ppa_canada,2020-02-02,2020,Q1,PPA,Canada,,75,USDm,rev-rec,filings/2021-02-19__de-us-20210219-q1-10q__105814.md,reconciles=yes
de_revrec_sat_canada,2020-02-02,2020,Q1,SAT,Canada,,63,USDm,rev-rec,filings/2021-02-19__de-us-20210219-q1-10q__105814.md,reconciles=yes
de_revrec_total_canada,2020-02-02,2020,Q1,Total,Canada,,466,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_at_central_europe_and_cis,2020-02-02,2020,Q1,AT,Central Europe and CIS,,220,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_cf_central_europe_and_cis,2020-02-02,2020,Q1,CF,Central Europe and CIS,,159,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_fs_central_europe_and_cis,2020-02-02,2020,Q1,FS,Central Europe and CIS,,10,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_ppa_central_europe_and_cis,2020-02-02,2020,Q1,PPA,Central Europe and CIS,,131,USDm,rev-rec,filings/2021-02-19__de-us-20210219-q1-10q__105814.md,reconciles=yes
de_revrec_sat_central_europe_and_cis,2020-02-02,2020,Q1,SAT,Central Europe and CIS,,89,USDm,rev-rec,filings/2021-02-19__de-us-20210219-q1-10q__105814.md,reconciles=yes
de_revrec_total_central_europe_and_cis,2020-02-02,2020,Q1,Total,Central Europe and CIS,,389,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_at_latin_america,2020-02-02,2020,Q1,AT,Latin America,,455,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_cf_latin_america,2020-02-02,2020,Q1,CF,Latin America,,159,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_fs_latin_america,2020-02-02,2020,Q1,FS,Latin America,,66,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_ppa_latin_america,2020-02-02,2020,Q1,PPA,Latin America,,383,USDm,rev-rec,filings/2021-02-19__de-us-20210219-q1-10q__105814.md,reconciles=yes
de_revrec_sat_latin_america,2020-02-02,2020,Q1,SAT,Latin America,,72,USDm,rev-rec,filings/2021-02-19__de-us-20210219-q1-10q__105814.md,reconciles=yes
de_revrec_total_latin_america,2020-02-02,2020,Q1,Total,Latin America,,680,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_at_united_states,2020-02-02,2020,Q1,AT,United States,,2500,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_cf_united_states,2020-02-02,2020,Q1,CF,United States,,1020,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_fs_united_states,2020-02-02,2020,Q1,FS,United States,,643,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_ppa_united_states,2020-02-02,2020,Q1,PPA,United States,,1433,USDm,rev-rec,filings/2021-02-19__de-us-20210219-q1-10q__105814.md,reconciles=yes
de_revrec_sat_united_states,2020-02-02,2020,Q1,SAT,United States,,1067,USDm,rev-rec,filings/2021-02-19__de-us-20210219-q1-10q__105814.md,reconciles=yes
de_revrec_total_united_states,2020-02-02,2020,Q1,Total,United States,,4163,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_at_western_europe,2020-02-02,2020,Q1,AT,Western Europe,,778,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_cf_western_europe,2020-02-02,2020,Q1,CF,Western Europe,,339,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_fs_western_europe,2020-02-02,2020,Q1,FS,Western Europe,,22,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_ppa_western_europe,2020-02-02,2020,Q1,PPA,Western Europe,,365,USDm,rev-rec,filings/2021-02-19__de-us-20210219-q1-10q__105814.md,reconciles=yes
de_revrec_sat_western_europe,2020-02-02,2020,Q1,SAT,Western Europe,,413,USDm,rev-rec,filings/2021-02-19__de-us-20210219-q1-10q__105814.md,reconciles=yes
de_revrec_total_western_europe,2020-02-02,2020,Q1,Total,Western Europe,,1139,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_at_asia_africa_oceania_and_middle_east,2020-05-03,2020,Q2,AT,"Asia, Africa, Oceania, and Middle East",,511,USDm,rev-rec,filings/2020-05-21__de-us-20200521-q2-10q__469470.md,reconciles=yes
de_revrec_cf_asia_africa_oceania_and_middle_east,2020-05-03,2020,Q2,CF,"Asia, Africa, Oceania, and Middle East",,251,USDm,rev-rec,filings/2020-05-21__de-us-20200521-q2-10q__469470.md,reconciles=yes
de_revrec_fs_asia_africa_oceania_and_middle_east,2020-05-03,2020,Q2,FS,"Asia, Africa, Oceania, and Middle East",,30,USDm,rev-rec,filings/2020-05-21__de-us-20200521-q2-10q__469470.md,reconciles=yes
de_revrec_ppa_asia_africa_oceania_and_middle_east,2020-05-03,2020,Q2,PPA,"Asia, Africa, Oceania, and Middle East",,221,USDm,rev-rec,filings/2021-05-21__de-us-20210521-q2-10q__105821.md,reconciles=yes
de_revrec_sat_asia_africa_oceania_and_middle_east,2020-05-03,2020,Q2,SAT,"Asia, Africa, Oceania, and Middle East",,290,USDm,rev-rec,filings/2021-05-21__de-us-20210521-q2-10q__105821.md,reconciles=yes
de_revrec_total_asia_africa_oceania_and_middle_east,2020-05-03,2020,Q2,Total,"Asia, Africa, Oceania, and Middle East",,792,USDm,rev-rec,filings/2020-05-21__de-us-20200521-q2-10q__469470.md,reconciles=yes
de_revrec_at_canada,2020-05-03,2020,Q2,AT,Canada,,266,USDm,rev-rec,filings/2020-05-21__de-us-20200521-q2-10q__469470.md,reconciles=yes
de_revrec_cf_canada,2020-05-03,2020,Q2,CF,Canada,,166,USDm,rev-rec,filings/2020-05-21__de-us-20200521-q2-10q__469470.md,reconciles=yes
de_revrec_fs_canada,2020-05-03,2020,Q2,FS,Canada,,151,USDm,rev-rec,filings/2020-05-21__de-us-20200521-q2-10q__469470.md,reconciles=yes
de_revrec_ppa_canada,2020-05-03,2020,Q2,PPA,Canada,,177,USDm,rev-rec,filings/2021-05-21__de-us-20210521-q2-10q__105821.md,reconciles=yes
de_revrec_sat_canada,2020-05-03,2020,Q2,SAT,Canada,,89,USDm,rev-rec,filings/2021-05-21__de-us-20210521-q2-10q__105821.md,reconciles=yes
de_revrec_total_canada,2020-05-03,2020,Q2,Total,Canada,,583,USDm,rev-rec,filings/2020-05-21__de-us-20200521-q2-10q__469470.md,reconciles=yes
de_revrec_at_central_europe_and_cis,2020-05-03,2020,Q2,AT,Central Europe and CIS,,338,USDm,rev-rec,filings/2020-05-21__de-us-20200521-q2-10q__469470.md,reconciles=yes
de_revrec_cf_central_europe_and_cis,2020-05-03,2020,Q2,CF,Central Europe and CIS,,140,USDm,rev-rec,filings/2020-05-21__de-us-20200521-q2-10q__469470.md,reconciles=yes
de_revrec_fs_central_europe_and_cis,2020-05-03,2020,Q2,FS,Central Europe and CIS,,8,USDm,rev-rec,filings/2020-05-21__de-us-20200521-q2-10q__469470.md,reconciles=yes
de_revrec_ppa_central_europe_and_cis,2020-05-03,2020,Q2,PPA,Central Europe and CIS,,258,USDm,rev-rec,filings/2021-05-21__de-us-20210521-q2-10q__105821.md,reconciles=yes
de_revrec_sat_central_europe_and_cis,2020-05-03,2020,Q2,SAT,Central Europe and CIS,,80,USDm,rev-rec,filings/2021-05-21__de-us-20210521-q2-10q__105821.md,reconciles=yes
de_revrec_total_central_europe_and_cis,2020-05-03,2020,Q2,Total,Central Europe and CIS,,486,USDm,rev-rec,filings/2020-05-21__de-us-20200521-q2-10q__469470.md,reconciles=yes
de_revrec_at_latin_america,2020-05-03,2020,Q2,AT,Latin America,,458,USDm,rev-rec,filings/2020-05-21__de-us-20200521-q2-10q__469470.md,reconciles=yes
de_revrec_cf_latin_america,2020-05-03,2020,Q2,CF,Latin America,,135,USDm,rev-rec,filings/2020-05-21__de-us-20200521-q2-10q__469470.md,reconciles=yes
de_revrec_fs_latin_america,2020-05-03,2020,Q2,FS,Latin America,,60,USDm,rev-rec,filings/2020-05-21__de-us-20200521-q2-10q__469470.md,reconciles=yes
de_revrec_ppa_latin_america,2020-05-03,2020,Q2,PPA,Latin America,,394,USDm,rev-rec,filings/2021-05-21__de-us-20210521-q2-10q__105821.md,reconciles=yes
de_revrec_sat_latin_america,2020-05-03,2020,Q2,SAT,Latin America,,64,USDm,rev-rec,filings/2021-05-21__de-us-20210521-q2-10q__105821.md,reconciles=yes
de_revrec_total_latin_america,2020-05-03,2020,Q2,Total,Latin America,,653,USDm,rev-rec,filings/2020-05-21__de-us-20200521-q2-10q__469470.md,reconciles=yes
de_revrec_at_united_states,2020-05-03,2020,Q2,AT,United States,,3381,USDm,rev-rec,filings/2020-05-21__de-us-20200521-q2-10q__469470.md,reconciles=yes
de_revrec_cf_united_states,2020-05-03,2020,Q2,CF,United States,,1263,USDm,rev-rec,filings/2020-05-21__de-us-20200521-q2-10q__469470.md,reconciles=yes
de_revrec_fs_united_states,2020-05-03,2020,Q2,FS,United States,,604,USDm,rev-rec,filings/2020-05-21__de-us-20200521-q2-10q__469470.md,reconciles=yes
de_revrec_ppa_united_states,2020-05-03,2020,Q2,PPA,United States,,1841,USDm,rev-rec,filings/2021-05-21__de-us-20210521-q2-10q__105821.md,reconciles=yes
de_revrec_sat_united_states,2020-05-03,2020,Q2,SAT,United States,,1540,USDm,rev-rec,filings/2021-05-21__de-us-20210521-q2-10q__105821.md,reconciles=yes
de_revrec_total_united_states,2020-05-03,2020,Q2,Total,United States,,5248,USDm,rev-rec,filings/2020-05-21__de-us-20200521-q2-10q__469470.md,reconciles=yes
de_revrec_at_western_europe,2020-05-03,2020,Q2,AT,Western Europe,,1111,USDm,rev-rec,filings/2020-05-21__de-us-20200521-q2-10q__469470.md,reconciles=yes
de_revrec_cf_western_europe,2020-05-03,2020,Q2,CF,Western Europe,,358,USDm,rev-rec,filings/2020-05-21__de-us-20200521-q2-10q__469470.md,reconciles=yes
de_revrec_fs_western_europe,2020-05-03,2020,Q2,FS,Western Europe,,22,USDm,rev-rec,filings/2020-05-21__de-us-20200521-q2-10q__469470.md,reconciles=yes
de_revrec_ppa_western_europe,2020-05-03,2020,Q2,PPA,Western Europe,,540,USDm,rev-rec,filings/2021-05-21__de-us-20210521-q2-10q__105821.md,reconciles=yes
de_revrec_sat_western_europe,2020-05-03,2020,Q2,SAT,Western Europe,,571,USDm,rev-rec,filings/2021-05-21__de-us-20210521-q2-10q__105821.md,reconciles=yes
de_revrec_total_western_europe,2020-05-03,2020,Q2,Total,Western Europe,,1491,USDm,rev-rec,filings/2020-05-21__de-us-20200521-q2-10q__469470.md,reconciles=yes
de_revrec_cf_asia_africa_oceania_and_middle_east,2020-08-02,2020,Q3,CF,"Asia, Africa, Oceania, and Middle East",,318,USDm,rev-rec,filings/2021-08-20__de-us-20210820-q3-10q__105837.md,reconciles=yes
de_revrec_fs_asia_africa_oceania_and_middle_east,2020-08-02,2020,Q3,FS,"Asia, Africa, Oceania, and Middle East",,32,USDm,rev-rec,filings/2021-08-20__de-us-20210820-q3-10q__105837.md,reconciles=yes
de_revrec_ppa_asia_africa_oceania_and_middle_east,2020-08-02,2020,Q3,PPA,"Asia, Africa, Oceania, and Middle East",,312,USDm,rev-rec,filings/2021-08-20__de-us-20210820-q3-10q__105837.md,reconciles=yes
de_revrec_sat_asia_africa_oceania_and_middle_east,2020-08-02,2020,Q3,SAT,"Asia, Africa, Oceania, and Middle East",,319,USDm,rev-rec,filings/2021-08-20__de-us-20210820-q3-10q__105837.md,reconciles=yes
de_revrec_total_asia_africa_oceania_and_middle_east,2020-08-02,2020,Q3,Total,"Asia, Africa, Oceania, and Middle East",,981,USDm,rev-rec,filings/2021-08-20__de-us-20210820-q3-10q__105837.md,reconciles=yes
de_revrec_cf_canada,2020-08-02,2020,Q3,CF,Canada,,194,USDm,rev-rec,filings/2021-08-20__de-us-20210820-q3-10q__105837.md,reconciles=yes
de_revrec_fs_canada,2020-08-02,2020,Q3,FS,Canada,,146,USDm,rev-rec,filings/2021-08-20__de-us-20210820-q3-10q__105837.md,reconciles=yes
