series_id,period_end,fiscal_year,fiscal_quarter,geography,country,segment,value,units,source_type,source,notes
de_rev_ce_cis_fs,2019-07-28,2019,Q3,Central Europe and CIS,,FS,10,USDm,10-Q,challenge/offline-data/deere/filings/2019-08-16__de-us-20190816-q3-10q__469206.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_total,2019-07-28,2019,Q3,Central Europe and CIS,,TOTAL,563,USDm,10-Q,challenge/offline-data/deere/filings/2019-08-16__de-us-20190816-q3-10q__469206.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_at,2019-11-03,2019,Q4,Central Europe and CIS,,"AT (PPA+SAT, pre-2020 basis)",558,USDm,10-Q/10-K derived,derived: FY2019 10-K (2019-11-27) less 9M FY2019 (2019-08-16 10-Q),ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales; Q4 derived = FY less 9M
de_rev_ce_cis_cf,2019-11-03,2019,Q4,Central Europe and CIS,,CF,194,USDm,10-Q/10-K derived,derived: FY2019 10-K (2019-11-27) less 9M FY2019 (2019-08-16 10-Q),ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales; Q4 derived = FY less 9M
de_rev_ce_cis_fs,2019-11-03,2019,Q4,Central Europe and CIS,,FS,9,USDm,10-Q/10-K derived,derived: FY2019 10-K (2019-11-27) less 9M FY2019 (2019-08-16 10-Q),ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales; Q4 derived = FY less 9M
de_rev_ce_cis_total,2019-11-03,2019,Q4,Central Europe and CIS,,TOTAL,761,USDm,10-Q/10-K derived,derived: FY2019 10-K (2019-11-27) less 9M FY2019 (2019-08-16 10-Q),ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales; Q4 derived = FY less 9M
de_rev_ce_cis_ppa,2020-02-02,2020,Q1,Central Europe and CIS,,PPA,131,USDm,10-Q,challenge/offline-data/deere/filings/2021-02-19__de-us-20210219-q1-10q__105814.md (prior-year column),ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_sat,2020-02-02,2020,Q1,Central Europe and CIS,,SAT,89,USDm,10-Q,challenge/offline-data/deere/filings/2021-02-19__de-us-20210219-q1-10q__105814.md (prior-year column),ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_cf,2020-02-02,2020,Q1,Central Europe and CIS,,CF,159,USDm,10-Q,challenge/offline-data/deere/filings/2021-02-19__de-us-20210219-q1-10q__105814.md (prior-year column),ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_fs,2020-02-02,2020,Q1,Central Europe and CIS,,FS,10,USDm,10-Q,challenge/offline-data/deere/filings/2021-02-19__de-us-20210219-q1-10q__105814.md (prior-year column),ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_total,2020-02-02,2020,Q1,Central Europe and CIS,,TOTAL,389,USDm,10-Q,challenge/offline-data/deere/filings/2021-02-19__de-us-20210219-q1-10q__105814.md (prior-year column),ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_ppa,2020-05-03,2020,Q2,Central Europe and CIS,,PPA,258,USDm,10-Q,challenge/offline-data/deere/filings/2021-05-21__de-us-20210521-q2-10q__105821.md (prior-year column),ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_sat,2020-05-03,2020,Q2,Central Europe and CIS,,SAT,80,USDm,10-Q,challenge/offline-data/deere/filings/2021-05-21__de-us-20210521-q2-10q__105821.md (prior-year column),ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_cf,2020-05-03,2020,Q2,Central Europe and CIS,,CF,140,USDm,10-Q,challenge/offline-data/deere/filings/2021-05-21__de-us-20210521-q2-10q__105821.md (prior-year column),ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_fs,2020-05-03,2020,Q2,Central Europe and CIS,,FS,8,USDm,10-Q,challenge/offline-data/deere/filings/2021-05-21__de-us-20210521-q2-10q__105821.md (prior-year column),ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_total,2020-05-03,2020,Q2,Central Europe and CIS,,TOTAL,486,USDm,10-Q,challenge/offline-data/deere/filings/2021-05-21__de-us-20210521-q2-10q__105821.md (prior-year column),ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_ppa,2020-08-02,2020,Q3,Central Europe and CIS,,PPA,219,USDm,10-Q,challenge/offline-data/deere/filings/2021-08-20__de-us-20210820-q3-10q__105837.md (prior-year column),ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_sat,2020-08-02,2020,Q3,Central Europe and CIS,,SAT,100,USDm,10-Q,challenge/offline-data/deere/filings/2021-08-20__de-us-20210820-q3-10q__105837.md (prior-year column),ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_cf,2020-08-02,2020,Q3,Central Europe and CIS,,CF,178,USDm,10-Q,challenge/offline-data/deere/filings/2021-08-20__de-us-20210820-q3-10q__105837.md (prior-year column),ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_fs,2020-08-02,2020,Q3,Central Europe and CIS,,FS,9,USDm,10-Q,challenge/offline-data/deere/filings/2021-08-20__de-us-20210820-q3-10q__105837.md (prior-year column),ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_total,2020-08-02,2020,Q3,Central Europe and CIS,,TOTAL,506,USDm,10-Q,challenge/offline-data/deere/filings/2021-08-20__de-us-20210820-q3-10q__105837.md (prior-year column),ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_ppa,2020-11-01,2020,Q4,Central Europe and CIS,,PPA,290,USDm,10-Q/10-K derived,derived: FY2020 10-K restated (2021-11-24) less 9M FY2020,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales; Q4 derived = FY less 9M
de_rev_ce_cis_sat,2020-11-01,2020,Q4,Central Europe and CIS,,SAT,224,USDm,10-Q/10-K derived,derived: FY2020 10-K restated (2021-11-24) less 9M FY2020,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales; Q4 derived = FY less 9M
de_rev_ce_cis_cf,2020-11-01,2020,Q4,Central Europe and CIS,,CF,169,USDm,10-Q/10-K derived,derived: FY2020 10-K restated (2021-11-24) less 9M FY2020,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales; Q4 derived = FY less 9M
de_rev_ce_cis_fs,2020-11-01,2020,Q4,Central Europe and CIS,,FS,8,USDm,10-Q/10-K derived,derived: FY2020 10-K restated (2021-11-24) less 9M FY2020,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales; Q4 derived = FY less 9M
de_rev_ce_cis_total,2020-11-01,2020,Q4,Central Europe and CIS,,TOTAL,691,USDm,10-Q/10-K derived,derived: FY2020 10-K restated (2021-11-24) less 9M FY2020,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales; Q4 derived = FY less 9M
de_rev_ce_cis_ppa,2021-01-31,2021,Q1,Central Europe and CIS,,PPA,161,USDm,10-Q,challenge/offline-data/deere/filings/2021-02-19__de-us-20210219-q1-10q__105814.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_sat,2021-01-31,2021,Q1,Central Europe and CIS,,SAT,84,USDm,10-Q,challenge/offline-data/deere/filings/2021-02-19__de-us-20210219-q1-10q__105814.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_cf,2021-01-31,2021,Q1,Central Europe and CIS,,CF,178,USDm,10-Q,challenge/offline-data/deere/filings/2021-02-19__de-us-20210219-q1-10q__105814.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_fs,2021-01-31,2021,Q1,Central Europe and CIS,,FS,9,USDm,10-Q,challenge/offline-data/deere/filings/2021-02-19__de-us-20210219-q1-10q__105814.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_total,2021-01-31,2021,Q1,Central Europe and CIS,,TOTAL,432,USDm,10-Q,challenge/offline-data/deere/filings/2021-02-19__de-us-20210219-q1-10q__105814.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_ppa,2021-05-02,2021,Q2,Central Europe and CIS,,PPA,531,USDm,10-Q,challenge/offline-data/deere/filings/2021-05-21__de-us-20210521-q2-10q__105821.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_sat,2021-05-02,2021,Q2,Central Europe and CIS,,SAT,160,USDm,10-Q,challenge/offline-data/deere/filings/2021-05-21__de-us-20210521-q2-10q__105821.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_cf,2021-05-02,2021,Q2,Central Europe and CIS,,CF,209,USDm,10-Q,challenge/offline-data/deere/filings/2021-05-21__de-us-20210521-q2-10q__105821.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_fs,2021-05-02,2021,Q2,Central Europe and CIS,,FS,9,USDm,10-Q,challenge/offline-data/deere/filings/2021-05-21__de-us-20210521-q2-10q__105821.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_total,2021-05-02,2021,Q2,Central Europe and CIS,,TOTAL,909,USDm,10-Q,challenge/offline-data/deere/filings/2021-05-21__de-us-20210521-q2-10q__105821.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_ppa,2021-08-01,2021,Q3,Central Europe and CIS,,PPA,398,USDm,10-Q,challenge/offline-data/deere/filings/2021-08-20__de-us-20210820-q3-10q__105837.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_sat,2021-08-01,2021,Q3,Central Europe and CIS,,SAT,117,USDm,10-Q,challenge/offline-data/deere/filings/2021-08-20__de-us-20210820-q3-10q__105837.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_cf,2021-08-01,2021,Q3,Central Europe and CIS,,CF,241,USDm,10-Q,challenge/offline-data/deere/filings/2021-08-20__de-us-20210820-q3-10q__105837.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_fs,2021-08-01,2021,Q3,Central Europe and CIS,,FS,10,USDm,10-Q,challenge/offline-data/deere/filings/2021-08-20__de-us-20210820-q3-10q__105837.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_total,2021-08-01,2021,Q3,Central Europe and CIS,,TOTAL,766,USDm,10-Q,challenge/offline-data/deere/filings/2021-08-20__de-us-20210820-q3-10q__105837.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_ppa,2021-10-31,2021,Q4,Central Europe and CIS,,PPA,232,USDm,10-Q/10-K derived,derived: FY2021 10-K (2021-11-24) less 9M FY2021,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales; Q4 derived = FY less 9M
de_rev_ce_cis_sat,2021-10-31,2021,Q4,Central Europe and CIS,,SAT,114,USDm,10-Q/10-K derived,derived: FY2021 10-K (2021-11-24) less 9M FY2021,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales; Q4 derived = FY less 9M
de_rev_ce_cis_cf,2021-10-31,2021,Q4,Central Europe and CIS,,CF,200,USDm,10-Q/10-K derived,derived: FY2021 10-K (2021-11-24) less 9M FY2021,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales; Q4 derived = FY less 9M
de_rev_ce_cis_fs,2021-10-31,2021,Q4,Central Europe and CIS,,FS,11,USDm,10-Q/10-K derived,derived: FY2021 10-K (2021-11-24) less 9M FY2021,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales; Q4 derived = FY less 9M
de_rev_ce_cis_total,2021-10-31,2021,Q4,Central Europe and CIS,,TOTAL,557,USDm,10-Q/10-K derived,derived: FY2021 10-K (2021-11-24) less 9M FY2021,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales; Q4 derived = FY less 9M
de_rev_ce_cis_ppa,2022-01-30,2022,Q1,Central Europe and CIS,,PPA,202,USDm,10-Q,challenge/offline-data/deere/filings/2022-02-18__de-us-20220218-q1-10q__105834.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_sat,2022-01-30,2022,Q1,Central Europe and CIS,,SAT,126,USDm,10-Q,challenge/offline-data/deere/filings/2022-02-18__de-us-20220218-q1-10q__105834.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_cf,2022-01-30,2022,Q1,Central Europe and CIS,,CF,195,USDm,10-Q,challenge/offline-data/deere/filings/2022-02-18__de-us-20220218-q1-10q__105834.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_fs,2022-01-30,2022,Q1,Central Europe and CIS,,FS,11,USDm,10-Q,challenge/offline-data/deere/filings/2022-02-18__de-us-20220218-q1-10q__105834.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_total,2022-01-30,2022,Q1,Central Europe and CIS,,TOTAL,534,USDm,10-Q,challenge/offline-data/deere/filings/2022-02-18__de-us-20220218-q1-10q__105834.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_ppa,2022-05-01,2022,Q2,Central Europe and CIS,,PPA,404,USDm,10-Q,challenge/offline-data/deere/filings/2022-05-20__de-us-20220520-q2-10q__105838.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_sat,2022-05-01,2022,Q2,Central Europe and CIS,,SAT,151,USDm,10-Q,challenge/offline-data/deere/filings/2022-05-20__de-us-20220520-q2-10q__105838.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_cf,2022-05-01,2022,Q2,Central Europe and CIS,,CF,146,USDm,10-Q,challenge/offline-data/deere/filings/2022-05-20__de-us-20220520-q2-10q__105838.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_fs,2022-05-01,2022,Q2,Central Europe and CIS,,FS,11,USDm,10-Q,challenge/offline-data/deere/filings/2022-05-20__de-us-20220520-q2-10q__105838.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_total,2022-05-01,2022,Q2,Central Europe and CIS,,TOTAL,712,USDm,10-Q,challenge/offline-data/deere/filings/2022-05-20__de-us-20220520-q2-10q__105838.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_ppa,2022-07-31,2022,Q3,Central Europe and CIS,,PPA,348,USDm,10-Q,challenge/offline-data/deere/filings/2022-08-19__de-us-20220819-q3-10q__105818.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_sat,2022-07-31,2022,Q3,Central Europe and CIS,,SAT,109,USDm,10-Q,challenge/offline-data/deere/filings/2022-08-19__de-us-20220819-q3-10q__105818.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_cf,2022-07-31,2022,Q3,Central Europe and CIS,,CF,111,USDm,10-Q,challenge/offline-data/deere/filings/2022-08-19__de-us-20220819-q3-10q__105818.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_fs,2022-07-31,2022,Q3,Central Europe and CIS,,FS,14,USDm,10-Q,challenge/offline-data/deere/filings/2022-08-19__de-us-20220819-q3-10q__105818.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_total,2022-07-31,2022,Q3,Central Europe and CIS,,TOTAL,582,USDm,10-Q,challenge/offline-data/deere/filings/2022-08-19__de-us-20220819-q3-10q__105818.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_ppa,2022-10-30,2022,Q4,Central Europe and CIS,,PPA,253,USDm,10-Q/10-K derived,derived: FY2022 10-K (2022-11-23) less 9M FY2022,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales; Q4 derived = FY less 9M
de_rev_ce_cis_sat,2022-10-30,2022,Q4,Central Europe and CIS,,SAT,102,USDm,10-Q/10-K derived,derived: FY2022 10-K (2022-11-23) less 9M FY2022,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales; Q4 derived = FY less 9M
de_rev_ce_cis_cf,2022-10-30,2022,Q4,Central Europe and CIS,,CF,93,USDm,10-Q/10-K derived,derived: FY2022 10-K (2022-11-23) less 9M FY2022,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales; Q4 derived = FY less 9M
de_rev_ce_cis_fs,2022-10-30,2022,Q4,Central Europe and CIS,,FS,13,USDm,10-Q/10-K derived,derived: FY2022 10-K (2022-11-23) less 9M FY2022,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales; Q4 derived = FY less 9M
de_rev_ce_cis_total,2022-10-30,2022,Q4,Central Europe and CIS,,TOTAL,461,USDm,10-Q/10-K derived,derived: FY2022 10-K (2022-11-23) less 9M FY2022,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales; Q4 derived = FY less 9M
de_rev_ce_cis_ppa,2023-01-29,2023,Q1,Central Europe and CIS,,PPA,202,USDm,10-Q,challenge/offline-data/deere/filings/2023-02-17__de-us-20230217-q1-10q__105813.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_sat,2023-01-29,2023,Q1,Central Europe and CIS,,SAT,123,USDm,10-Q,challenge/offline-data/deere/filings/2023-02-17__de-us-20230217-q1-10q__105813.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_cf,2023-01-29,2023,Q1,Central Europe and CIS,,CF,75,USDm,10-Q,challenge/offline-data/deere/filings/2023-02-17__de-us-20230217-q1-10q__105813.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_fs,2023-01-29,2023,Q1,Central Europe and CIS,,FS,12,USDm,10-Q,challenge/offline-data/deere/filings/2023-02-17__de-us-20230217-q1-10q__105813.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_total,2023-01-29,2023,Q1,Central Europe and CIS,,TOTAL,412,USDm,10-Q,challenge/offline-data/deere/filings/2023-02-17__de-us-20230217-q1-10q__105813.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_ppa,2023-04-30,2023,Q2,Central Europe and CIS,,PPA,393,USDm,10-Q,challenge/offline-data/deere/filings/2023-05-19__de-us-20230519-q2-10q__105852.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_sat,2023-04-30,2023,Q2,Central Europe and CIS,,SAT,212,USDm,10-Q,challenge/offline-data/deere/filings/2023-05-19__de-us-20230519-q2-10q__105852.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_cf,2023-04-30,2023,Q2,Central Europe and CIS,,CF,90,USDm,10-Q,challenge/offline-data/deere/filings/2023-05-19__de-us-20230519-q2-10q__105852.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_fs,2023-04-30,2023,Q2,Central Europe and CIS,,FS,8,USDm,10-Q,challenge/offline-data/deere/filings/2023-05-19__de-us-20230519-q2-10q__105852.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_total,2023-04-30,2023,Q2,Central Europe and CIS,,TOTAL,703,USDm,10-Q,challenge/offline-data/deere/filings/2023-05-19__de-us-20230519-q2-10q__105852.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_ppa,2023-07-30,2023,Q3,Central Europe and CIS,,PPA,302,USDm,10-Q,challenge/offline-data/deere/filings/2023-08-18__de-us-20230818-q3-10q__105835.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_sat,2023-07-30,2023,Q3,Central Europe and CIS,,SAT,85,USDm,10-Q,challenge/offline-data/deere/filings/2023-08-18__de-us-20230818-q3-10q__105835.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_cf,2023-07-30,2023,Q3,Central Europe and CIS,,CF,98,USDm,10-Q,challenge/offline-data/deere/filings/2023-08-18__de-us-20230818-q3-10q__105835.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_fs,2023-07-30,2023,Q3,Central Europe and CIS,,FS,6,USDm,10-Q,challenge/offline-data/deere/filings/2023-08-18__de-us-20230818-q3-10q__105835.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_total,2023-07-30,2023,Q3,Central Europe and CIS,,TOTAL,491,USDm,10-Q,challenge/offline-data/deere/filings/2023-08-18__de-us-20230818-q3-10q__105835.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_ppa,2023-10-29,2023,Q4,Central Europe and CIS,,PPA,321,USDm,10-Q/10-K derived,derived: FY2023 10-K (2023-11-22) less 9M FY2023,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales; Q4 derived = FY less 9M
de_rev_ce_cis_sat,2023-10-29,2023,Q4,Central Europe and CIS,,SAT,110,USDm,10-Q/10-K derived,derived: FY2023 10-K (2023-11-22) less 9M FY2023,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales; Q4 derived = FY less 9M
de_rev_ce_cis_cf,2023-10-29,2023,Q4,Central Europe and CIS,,CF,90,USDm,10-Q/10-K derived,derived: FY2023 10-K (2023-11-22) less 9M FY2023,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales; Q4 derived = FY less 9M
de_rev_ce_cis_fs,2023-10-29,2023,Q4,Central Europe and CIS,,FS,10,USDm,10-Q/10-K derived,derived: FY2023 10-K (2023-11-22) less 9M FY2023,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales; Q4 derived = FY less 9M
de_rev_ce_cis_total,2023-10-29,2023,Q4,Central Europe and CIS,,TOTAL,531,USDm,10-Q/10-K derived,derived: FY2023 10-K (2023-11-22) less 9M FY2023,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales; Q4 derived = FY less 9M
de_rev_ce_cis_ppa,2024-01-28,2024,Q1,Central Europe and CIS,,PPA,179,USDm,10-Q,challenge/offline-data/deere/filings/2024-02-15__de-us-20240215-q1-10q__105826.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_sat,2024-01-28,2024,Q1,Central Europe and CIS,,SAT,73,USDm,10-Q,challenge/offline-data/deere/filings/2024-02-15__de-us-20240215-q1-10q__105826.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_cf,2024-01-28,2024,Q1,Central Europe and CIS,,CF,94,USDm,10-Q,challenge/offline-data/deere/filings/2024-02-15__de-us-20240215-q1-10q__105826.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_fs,2024-01-28,2024,Q1,Central Europe and CIS,,FS,8,USDm,10-Q,challenge/offline-data/deere/filings/2024-02-15__de-us-20240215-q1-10q__105826.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_total,2024-01-28,2024,Q1,Central Europe and CIS,,TOTAL,354,USDm,10-Q,challenge/offline-data/deere/filings/2024-02-15__de-us-20240215-q1-10q__105826.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_ppa,2024-04-28,2024,Q2,Central Europe and CIS,,PPA,275,USDm,10-Q,challenge/offline-data/deere/filings/2024-05-16__de-us-20240516-q2-10q__105820.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_sat,2024-04-28,2024,Q2,Central Europe and CIS,,SAT,80,USDm,10-Q,challenge/offline-data/deere/filings/2024-05-16__de-us-20240516-q2-10q__105820.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_cf,2024-04-28,2024,Q2,Central Europe and CIS,,CF,91,USDm,10-Q,challenge/offline-data/deere/filings/2024-05-16__de-us-20240516-q2-10q__105820.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_fs,2024-04-28,2024,Q2,Central Europe and CIS,,FS,8,USDm,10-Q,challenge/offline-data/deere/filings/2024-05-16__de-us-20240516-q2-10q__105820.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
